ITEM_ID,USER_ID,EVENT_TYPE,TIMESTAMP,DISCOUNT
7094c84b-1110-4849-b7cd-e05c13e71357,751,View,1591804185,No
7094c84b-1110-4849-b7cd-e05c13e71357,751,View,1591804195,No
7094c84b-1110-4849-b7cd-e05c13e71357,751,AddToCart,1591804200,No
8325cf2c-2158-4b9b-ab7a-d55e072e9ce6,3198,View,1591810424,Yes
8325cf2c-2158-4b9b-ab7a-d55e072e9ce6,3198,View,1591810429,Yes
8325cf2c-2158-4b9b-ab7a-d55e072e9ce6,3198,View,1591810447,Yes
b840c965-bff0-481f-8d65-e3c2142a39c5,314,View,1591810769,No
b840c965-bff0-481f-8d65-e3c2142a39c5,314,View,1591810785,No
b840c965-bff0-481f-8d65-e3c2142a39c5,314,View,1591810795,No
b840c965-bff0-481f-8d65-e3c2142a39c5,314,AddToCart,1591810799,No
61f4b407-4f23-4549-b955-5f17e19f7128,3881,View,1591811694,No
61f4b407-4f23-4549-b955-5f17e19f7128,3881,ViewCart,1591811695,No
61f4b407-4f23-4549-b955-5f17e19f7128,3881,View,1591811704,No
61f4b407-4f23-4549-b955-5f17e19f7128,3881,View,1591811723,No
8325cf2c-2158-4b9b-ab7a-d55e072e9ce6,3198,View,1591815713,No
eb18ce0f-6a22-41e6-b04a-27daab2846d0,3521,View,1591816674,Yes
eb18ce0f-6a22-41e6-b04a-27daab2846d0,3521,View,1591816679,Yes
eb18ce0f-6a22-41e6-b04a-27daab2846d0,3521,View,1591816690,Yes
eb18ce0f-6a22-41e6-b04a-27daab2846d0,3521,View,1591816703,Yes
eb18ce0f-6a22-41e6-b04a-27daab2846d0,3521,AddToCart,1591816704,Yes
4f9e1247-5342-4a79-ae6d-e53d083840a8,4653,View,1591820227,No
4f9e1247-5342-4a79-ae6d-e53d083840a8,4653,View,1591820230,No
4f9e1247-5342-4a79-ae6d-e53d083840a8,4653,View,1591820247,No
4f9e1247-5342-4a79-ae6d-e53d083840a8,4653,View,1591820256,No
