order_id,user_id,timestamp,item_id,delivery_status
0,2056,2020-06-10 16:01:25,41af1a6b-d952-40ed-ae74-4411c0ecb2c9,Delivered
1,4252,2020-06-10 16:19:52,8a94535e-4638-43ed-ab9a-2ac90849a98b,Delivered
2,328,2020-06-10 16:38:14,a8d5f650-a661-4089-a6b6-674874eee4ae,Delivered
3,699,2020-06-10 16:56:28,3f9a39b2-0d63-4751-b6ee-4ecd08dd2276,Delivered
4,365,2020-06-10 17:14:46,9a34152c-8be3-43f6-869f-6829a699c638,Delivered
5,1450,2020-06-10 17:33:09,12c1ae27-cec6-41ad-8c8e-8f50648e056f,Delivered
6,2249,2020-06-10 17:51:28,3d11accd-9984-47e5-b0e6-94743e964b15,Delivered
7,2149,2020-06-10 18:09:41,35b9ac55-005a-45ef-8759-237ad3b6a919,Delivered
8,2360,2020-06-10 18:28:12,018ed8da-1977-4afd-ac8a-58be861fbe45,Delivered
9,1532,2020-06-10 18:46:28,b9ce61f9-58cc-4ccb-aa32-03e223025857,Delivered
10,3996,2020-06-10 19:04:46,9f50d5db-5054-43e8-97b0-80d5036a6bf7,Delivered
11,1778,2020-06-10 19:23:09,49f48b44-2a8e-4922-b2ff-2ff8c52b43f3,Delivered
12,2369,2020-06-10 19:41:26,122f738a-92c6-479c-9bd7-c45b17bf0417,Delivered
13,4980,2020-06-10 19:59:50,328a7f6b-238d-4165-9949-5e0aa70b7200,Delivered
14,3207,2020-06-10 20:18:05,360b9723-ef31-4202-9aba-67184676f6c2,Delivered
15,3776,2020-06-10 20:36:26,3d8bb35f-761d-43a8-84a5-d7beff8bc8c0,Delivered
16,4242,2020-06-10 20:54:46,f48751db-ecd5-4e3c-9fef-82d45c4cf51a,Delivered
17,5051,2020-06-10 21:13:01,7c6e7bc3-94cc-4147-bd01-e7ecf04cf834,Delivered
18,874,2020-06-10 21:31:27,4f88d8c2-6ea8-434d-a31b-0955626c139a,Delivered
19,350,2020-06-10 21:49:50,e8b08d94-751c-4334-8ced-799bf907149e,Delivered
20,4038,2020-06-10 22:08:05,6edbdde6-0791-4a53-ae92-b8aaba88753d,Delivered
21,1588,2020-06-10 22:26:30,e780c3e7-9c9c-4b54-87ad-8bde1b837dd8,Delivered
22,2700,2020-06-10 22:44:50,f35ae4b4-b1ac-4c95-ac58-d66f7158680e,Delivered
23,1403,2020-06-10 23:03:13,9f7a3af3-a5d5-4a4f-9fc5-3fdae3e9787a,Delivered
24,2011,2020-06-10 23:21:34,81bde330-051f-4db6-96c7-886dda3171b3,Delivered
25,4561,2020-06-10 23:39:56,844846d9-dc61-4709-8286-a0f79d6ae809,Delivered
26,3204,2020-06-10 23:58:13,72ca8c60-b062-4e9c-9da0-89fdf09f96d9,Delivered
27,3785,2020-06-11 00:16:30,5c111431-fbc2-4a49-9c38-83dd5c37586a,Delivered
28,4016,2020-06-11 00:34:51,1b7db01f-0121-45e5-ae68-a46cb30e49a6,Delivered
29,2392,2020-06-11 00:53:06,8bdfaf9c-4ff6-46bc-a304-33db265f36ef,Delivered
30,846,2020-06-11 01:11:31,34327402-69b9-44ed-b688-55e6f73b7fd9,Delivered
31,5219,2020-06-11 01:29:49,47d8c359-0366-4550-ac11-c359f35302d4,Delivered
32,1187,2020-06-11 01:48:06,c0417333-f966-420f-8e65-93bf708887b8,Delivered
33,1281,2020-06-11 02:06:25,9be3c754-d792-4b9a-80e4-988130797bb1,Delivered
34,1224,2020-06-11 02:24:47,d4239d9a-4c22-4dd3-976f-0083c7c487b4,Delivered
35,4058,2020-06-11 02:43:11,2f11beab-a8ab-40c5-87af-9e7acce72e6b,Delivered
36,606,2020-06-11 03:01:29,0d6b29df-c5a6-4785-890a-e01bd433644b,Delivered
37,1866,2020-06-11 03:19:49,e48a456e-bf9c-4750-976f-1e66db61b7b9,Delivered
38,131,2020-06-11 03:38:06,d4abbe9b-19dc-46d7-9ec7-1178f1df276a,Delivered
39,2050,2020-06-11 03:56:32,89b22997-f0a4-4846-9683-2d10f65bb45a,Delivered
40,4289,2020-06-11 04:14:55,b48717fa-76f0-4cd9-af37-81961de245a6,Delivered
41,1994,2020-06-11 04:33:04,cfb51e9c-6a69-4ca8-ae56-9ef78c35adba,Delivered
42,1063,2020-06-11 04:51:28,93b383f7-44ca-4543-866a-a7a3953ff989,Delivered
43,4461,2020-06-11 05:09:43,635be5a7-3345-46f9-aa0d-419a6652b0f2,Delivered
44,1643,2020-06-11 05:28:08,f3407b88-742a-44b0-88da-3cc775bdb55b,Delivered
45,1494,2020-06-11 05:46:30,3fa257ab-5c4c-4963-941f-bc73bafc8bff,Delivered
46,4743,2020-06-11 06:04:56,bf2feed1-147b-4363-8b1c-b1f2bab5ef3b,Delivered
47,4254,2020-06-11 06:23:12,ed801768-d0df-431e-8883-aa96862f246a,Delivered
48,2253,2020-06-11 06:41:26,5723f368-aae1-4504-b5b6-3efbc47497cc,Delivered
49,2252,2020-06-11 06:59:50,d997e27d-a2ce-41b7-b10b-75cf61585575,Delivered
50,925,2020-06-11 07:18:05,589823cc-89f2-4bd5-8cab-e89478f530ea,Delivered
51,4841,2020-06-11 07:36:23,4bcb9dea-5dc0-41b4-b086-382ea577ac96,Delivered
52,128,2020-06-11 07:54:58,a05f9009-90b3-4eab-989c-9bc3a99a8062,Delivered
53,37,2020-06-11 08:13:13,514cbd7d-71d8-4b75-8a67-448f40bab8e4,Delivered
54,5060,2020-06-11 08:31:33,f115c9be-eae6-4bdf-9b92-32ba579a43b1,Delivered
55,43,2020-06-11 08:49:50,56138fc9-df6d-4d6f-8594-768861870d30,Delivered
56,1669,2020-06-11 09:08:01,35d4970e-cd3d-4f69-9754-15c8765793d6,Delivered
57,617,2020-06-11 09:26:27,04f22a7d-97fd-4650-afb6-3537963f647d,Delivered
58,1555,2020-06-11 09:44:46,6fc7b390-e00f-47a8-9128-098517f02852,Delivered
59,2454,2020-06-11 10:02:59,cb9035f5-ed1e-40b0-9e8f-f20a727cb227,Delivered
60,3157,2020-06-11 10:21:26,f5aea4cc-13dc-492b-a744-27a5e3f718cf,Delivered
61,1762,2020-06-11 10:39:54,9d8e0772-5de5-4285-af60-ef8190468943,Delivered
62,2976,2020-06-11 10:58:01,3b3193de-6fa5-43e1-a322-50cf043d9480,Delivered
63,3779,2020-06-11 11:16:28,5d28d7a1-4a71-4db3-9ec3-754c2b0b5d99,Delivered
64,1449,2020-06-11 11:34:56,c3c32c14-e357-431f-a5ca-ae00a969ee84,Delivered
65,4562,2020-06-11 11:53:01,0ea1ce23-a279-407d-a68a-86c8b3e83f79,Delivered
66,3602,2020-06-11 12:11:27,168b7d52-7dbf-4f73-987b-d0fe181f778a,Delivered
67,900,2020-06-11 12:29:42,022b3ccd-1566-4bdd-800f-bf7afb7951b2,Delivered
68,3562,2020-06-11 12:48:03,2a44c312-f951-4c8a-a77d-bf379a5e80cb,Delivered
69,1209,2020-06-11 13:06:27,24a19516-a629-4703-af46-cf28f604a48a,Delivered
70,1038,2020-06-11 13:24:51,1772332f-facc-4f13-b229-2c25f7c360ca,Delivered
